timestamp,open,high,low,close,volume
2007-06-12,1.3358,1.3368,1.3301,1.3302,0.0
2007-06-13,1.3301,1.3315,1.3264,1.331,0.0
2007-06-14,1.3312,1.3323,1.3279,1.3312,0.0
2007-06-15,1.3312,1.3389,1.3306,1.3388,0.0
2007-06-18,1.3384,1.3417,1.3377,1.3415,0.0
2007-06-19,1.3414,1.3435,1.3383,1.3427,0.0
2007-06-20,1.3427,1.3437,1.3396,1.3403,0.0
2007-06-21,1.3403,1.3408,1.3372,1.3388,0.0
2007-06-22,1.3389,1.347,1.3381,1.347,0.0
2007-06-25,1.3468,1.3473,1.3439,1.3462,0.0
2007-06-26,1.3462,1.3477,1.3432,1.3454,0.0
2007-06-27,1.3452,1.3458,1.3416,1.3453,0.0
2007-06-28,1.3452,1.348,1.3423,1.345,0.0
2007-06-29,1.3448,1.3542,1.3431,1.3541,0.0
2007-07-02,1.3541,1.3638,1.3528,1.3624,0.0
2007-07-03,1.3624,1.3634,1.3584,1.3608,0.0
2007-07-04,1.3609,1.363,1.3605,1.3612,0.0
2007-07-05,1.3612,1.3658,1.3579,1.3598,0.0
2007-07-06,1.3597,1.3641,1.3568,1.3627,0.0
2007-07-09,1.363,1.3638,1.361,1.3626,0.0
2007-07-10,1.3626,1.3747,1.3594,1.3746,0.0
2007-07-11,1.3747,1.3782,1.3731,1.3744,0.0
2007-07-12,1.3744,1.3797,1.374,1.3788,0.0
2007-07-13,1.3787,1.3811,1.3763,1.3782,0.0
2007-07-16,1.3781,1.3803,1.3759,1.3771,0.0
2007-07-17,1.3771,1.3797,1.3758,1.3781,0.0
2007-07-18,1.3781,1.3832,1.3753,1.3802,0.0
2007-07-19,1.3803,1.3829,1.3786,1.3803,0.0
2007-07-20,1.3802,1.3842,1.378,1.3827,0.0
2007-07-23,1.383,1.3844,1.3795,1.3807,0.0
2007-07-24,1.3809,1.3851,1.3798,1.3823,0.0
2007-07-25,1.3823,1.3832,1.3696,1.3721,0.0
2007-07-26,1.372,1.3771,1.3692,1.3746,0.0
2007-07-27,1.3744,1.3753,1.3627,1.3633,0.0
2007-07-30,1.3623,1.3705,1.361,1.3696,0.0
2007-07-31,1.3695,1.3726,1.3679,1.3683,0.0
2007-08-01,1.3682,1.3709,1.3637,1.3666,0.0
2007-08-02,1.3665,1.3705,1.365,1.3702,0.0
2007-08-03,1.3703,1.3819,1.3684,1.3773,0.0
2007-08-06,1.3796,1.3838,1.378,1.3793,0.0
2007-08-07,1.3792,1.3815,1.3735,1.3736,0.0
2007-08-08,1.3738,1.3826,1.3721,1.3797,0.0
2007-08-09,1.3797,1.3816,1.3655,1.3677,0.0
2007-08-10,1.3678,1.3704,1.3643,1.3692,0.0
2007-08-13,1.3689,1.3709,1.3604,1.3612,0.0
2007-08-14,1.3609,1.3625,1.3531,1.3533,0.0
2007-08-15,1.3533,1.3539,1.3439,1.3441,0.0
2007-08-16,1.344,1.3446,1.337,1.3427,0.0
2007-08-17,1.3427,1.3545,1.3371,1.3475,0.0
2007-08-20,1.3475,1.3506,1.346,1.3473,0.0
2007-08-21,1.3476,1.3518,1.3457,1.3465,0.0
2007-08-22,1.3466,1.3549,1.345,1.3543,0.0
2007-08-23,1.3549,1.3588,1.3535,1.3564,0.0
2007-08-24,1.3566,1.3679,1.3553,1.3674,0.0
2007-08-27,1.3672,1.3679,1.3635,1.3641,0.0
2007-08-28,1.364,1.3679,1.3599,1.36,0.0
2007-08-29,1.36,1.368,1.3563,1.3674,0.0
2007-08-30,1.3673,1.3676,1.3593,1.3631,0.0
2007-08-31,1.3631,1.3719,1.362,1.3628,0.0
2007-09-03,1.3629,1.3654,1.3603,1.3622,0.0
2007-09-04,1.3623,1.3625,1.3551,1.3604,0.0
2007-09-05,1.3604,1.3671,1.3569,1.365,0.0
2007-09-06,1.365,1.371,1.3635,1.369,0.0
2007-09-07,1.369,1.3796,1.3663,1.3767,0.0
2007-09-10,1.3774,1.3814,1.3766,1.3806,0.0
